date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_efa.us,w_gld.us,w_hyg.us,w_iau.us,w_ief.us,w_ijr.us,w_ivv.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us,w_xlk.us
2007-08-01,0.01329460993596559,0.01109460993596559,0.55,5,True,0.0022,0.9978,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.0,0.0,0.0,0.06111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.06111111111111112,0.06111111111111112,0.0
2007-09-01,0.014443193529212146,0.014443193529212146,0.0,0,False,0.0,1.0101889510753532,0.0,0.46666666666666656,0.0,0.0,0.0,0.0,0.0,0.3555555555555556,0.0,0.0,0.0,0.059259259259259275,0.0,0.0,0.0,0.0,0.0,0.0,0.059259259259259275,0.059259259259259275,0.0
2007-10-01,0.011607086535026144,0.011370049497989107,0.059259259259259275,2,True,0.0002370370370370371,1.0245363949465909,0.0,0.46666666666666656,0.059259259259259275,0.0,0.0,0.0,0.0,0.3555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059259259259259275,0.059259259259259275,0.0
2007-11-01,0.00043285698219858876,-0.0002782541289125226,0.17777777777777784,4,True,0.0007111111111111114,1.0356912618769905,-0.005873475957806185,0.46666666666666656,0.11851851851851855,0.0,0.0,0.0,0.0,0.1777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11851851851851855,0.11851851851851855,0.0
2007-12-01,0.0016352526765300126,0.0003759934172707529,0.31481481481481494,5,True,0.0012592592592592597,1.0344220492719018,-0.012505098907454881,0.43333333333333324,0.03148148148148148,0.0,0.0,0.0,0.0,0.4722222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.03148148148148148,0.0,0.0,0.0,0.03148148148148148,0.0,0.0
2008-01-01,0.013568337465396268,0.013223893020951824,0.0861111111111111,4,True,0.0003444444444444444,1.024305567718801,-0.02216264048607397,0.4833333333333333,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0017542956885355787,0.0017542956885355787,0.0,0,False,0.0,1.0378460878356144,-0.009236393812479093,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0018277773579610246,0.0018277773579610246,0.0,0,False,0.0,1.04260686259995,-0.004691594319524928,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,-0.009381894744767583,-0.009381894744767583,0.0,0,False,0.0,1.0445125158166648,-0.01067324246963064,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,-0.007623828987266712,-0.007623828987266712,0.0,0,False,0.0,1.034713009333681,-0.019955001976962317,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
