date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_qqq.us,w_vt.us
2008-07-01,-0.10467086790885395,-0.10867086790885395,1.0,3,True,0.004,0.996,0.0,0.0,0.8,0.2,0.0,0.0,0.0
2008-08-01,-0.08711776201990422,-0.08711776201990422,0.0,0,False,0.0,0.891747815562782,-0.1198855427728095,0.0,0.8,0.2,0.0,0.0,0.0
2008-09-01,-0.1543074332890454,-0.1583074332890454,1.0,3,True,0.004,0.8372599713068088,-0.17366256205550978,0.0,0.0,0.0,0.0,1.0,0.0
2008-10-01,0.0,-0.004,1.0,2,True,0.004,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.7024113468982317,-0.30675200932742464,1.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.12546036417723871,0.12146036417723871,1.0,2,True,0.004,0.6996017015106388,-0.30952500129011484,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-01,-0.028445997244326837,-0.028445997244326837,0.0,0,False,0.0,0.7873739857611793,-0.2228977564966943,0.0,0.0,0.0,0.0,0.0,1.0
2009-07-01,0.10529609892515124,0.10529609892515124,0.0,0,False,0.0,0.7649763475319624,-0.24500320477394932,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-01,-0.01682399612458918,-0.01682399612458918,0.0,0,False,0.0,0.8277190704152667,-0.18307899645890513,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-01,0.04800982768263773,0.04800982768263773,0.0,0,False,0.0,0.8137935279823518,-0.1968228722565758,0.0,0.0,0.0,0.0,0.0,1.0
2009-10-01,0.0487535695312221,0.0447535695312221,1.0,3,True,0.004,0.8494521605699101,-0.16162942684795834,0.0,0.0,0.8,0.0,0.2,0.0
2009-11-01,0.11875457012345181,0.11875457012345181,0.0,0,False,0.0,0.8818702151529546,-0.1296342842574364,0.0,0.0,0.8,0.0,0.2,0.0
2009-12-01,-0.0404464220550357,-0.0404464220550357,0.0,0,False,0.0,0.9865963334581193,-0.02627437783423825,0.0,0.0,0.8,0.0,0.2,0.0
