date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_tlt.us,w_vt.us,w_xlk.us
2005-05-01,0.008092633922990622,0.007292633922990621,0.2,2,True,0.0008,,,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2005-06-01,-0.0012812605630305287,-0.0012812605630305287,0.0,0,False,0.0,1.0072861598158525,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2005-07-01,-0.005844283572223219,-0.005844283572223219,0.0,0,False,0.0,1.005995563783594,-0.003119064606819544,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2005-08-01,0.005753471980016834,0.005753471980016834,0.0,0,False,0.0,1.0001162404364443,-0.008945119481000297,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2005-09-01,0.0,-0.0008,0.2,2,True,0.0008,1.0050656848975932,-0.004040518504878965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0,False,0.0,1.0050656848975932,-0.004040518504878965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0,False,0.0,1.0050656848975932,-0.004040518504878965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0,False,0.0,1.0050656848975932,-0.004040518504878965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,-0.0037752006181615005,-0.004575200618161501,0.2,2,True,0.0008,1.0041032047670504,-0.0049942782702046,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-02-01,0.0009703110723198627,0.0009703110723198627,0.0,0,False,0.0,0.9995122637167339,-0.009543623986364214,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-03-01,-0.0086424570201302,-0.0086424570201302,0.0,0,False,0.0,1.0004821015331378,-0.008582573198068322,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-04-01,0.0,-0.0008,0.2,2,True,0.0008,0.992504885228769,-0.01648751347576083,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0,False,0.0,0.9917108813205859,-0.017274323464980257,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0,False,0.0,0.9917108813205859,-0.017274323464980257,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0,False,0.0,0.9917108813205859,-0.017274323464980257,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0053919297073414365,0.004591929707341436,0.2,2,True,0.0008,0.9909175126155295,-0.018060504006208178,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-09-01,0.003493374935288429,0.003493374935288429,0.0,0,False,0.0,0.9962604701893262,-0.012765955266947349,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-10-01,0.001482410980567428,0.001482410980567428,0.0,0,False,0.0,0.9999530084013725,-0.00910687258376397,0.8,0.0,0.0,0.0,0.2,0.0,0.0
2006-11-01,0.003267544495765851,0.003267544495765851,0.0,0,False,0.0,1.0014353497210782,-0.0076379617311133075,0.8,0.0,0.0,0.0,0.2,0.0,0.0
